asn_destino,asn_upstream,frequencia,pais_upstream
9924,3491,18174,HK
4780,9002,15472,GB
4780,2914,11835,JP
4780,6453,11765,US
4780,3491,7287,HK
4780,6939,6869,US
17408,6939,3952,US
17809,6939,2962,US
38841,6939,1689,US
9924,6939,1577,US
59268,139750,1321,HK
3462,6939,1248,US
4780,9304,1158,HK
131645,6939,1108,US
45250,9304,1006,HK
18046,9002,988,GB
10229,10310,937,US
9416,6939,864,US
23675,13335,864,US
18041,6939,849,US
63902,53587,801,US
18046,23764,742,HK
38854,21859,715,US
9924,4637,699,HK
9924,2914,645,JP
131642,6939,616,US
208223,6939,600,US
7532,32787,588,Desconhecido
18046,174,559,US
9924,9002,557,GB
9505,1299,535,SE
208223,44324,486,Desconhecido
136462,4637,477,HK
18046,6939,469,US
56913,396356,451,Desconhecido
208223,20473,445,US
139065,133847,430,MY
142005,3786,426,KR
9416,15412,415,Desconhecido
24506,10310,408,US
131618,21859,401,US
18428,6939,393,US
18182,6939,384,US
45761,4515,369,HK
49608,138915,358,HK
9505,174,357,US
9924,9304,355,HK
3462,3491,350,HK
9678,3491,337,HK
18046,4637,336,HK
9244,4637,336,HK
3462,34549,334,Desconhecido
134823,23961,324,US
7536,21859,324,US
9505,6939,322,US
134823,2914,321,JP
3462,17639,299,PH
9923,32595,276,Desconhecido
131644,6939,274,US
3462,24482,267,SG
18422,6939,266,US
9505,3356,266,US
9678,2914,264,JP
131657,199524,254,Desconhecido
134094,51559,249,Desconhecido
3462,1103,247,Desconhecido
18182,45474,247,SG
131596,24482,240,SG
131596,55720,240,MY
7483,13335,240,US
63897,9002,239,GB
136462,13335,237,US
7483,3491,233,HK
38841,24482,232,SG
131149,174,232,US
3462,2914,228,JP
38843,13335,228,US
134823,6939,227,US
9244,3491,226,HK
63897,45250,226,US
207705,6939,224,US
9924,24482,223,SG
203472,7720,220,US
3462,37721,217,Desconhecido
134823,3491,216,HK
63902,18186,215,Desconhecido
3462,58453,214,HK
18419,6939,214,US
215256,6939,214,US
38841,55720,213,MY
131642,3491,212,HK
142005,2914,209,JP
131630,6939,209,US
17709,4637,205,HK
205329,6939,204,US
7539,6461,201,Desconhecido
134823,10099,200,HK
210445,48231,198,Desconhecido
214841,204844,192,GB
55789,6939,184,US
213617,34927,184,Desconhecido
9244,9584,182,HK
212359,57429,180,Desconhecido
18180,55933,178,HK
9244,6939,172,US
45761,198949,172,Desconhecido
4780,4635,171,HK
153891,140570,165,HK
212425,212279,165,Desconhecido
131646,9002,163,GB
142005,3491,162,HK
150137,4637,160,HK
131149,6939,158,US
9924,38001,157,SG
210384,53667,156,Desconhecido
3462,6461,152,Desconhecido
204934,34872,150,Desconhecido
131596,137409,148,AU
3462,48362,146,Desconhecido
7483,4229,145,Desconhecido
7536,13335,144,US
152611,13335,144,US
150770,18186,143,Desconhecido
205417,20473,137,US
7483,60068,136,Desconhecido
131613,21859,135,US
38254,6939,132,US
4780,24482,131,SG
142005,198949,129,Desconhecido
203472,207705,129,Desconhecido
18427,18186,128,Desconhecido
131630,32595,124,Desconhecido
208223,215828,122,Desconhecido
204934,20473,120,US
152616,204844,118,GB
136462,24482,117,SG
131273,174,117,US
9922,6939,116,US
45250,174,116,US
141742,6939,115,US
131646,54994,114,Desconhecido
210384,34927,114,Desconhecido
9924,58453,113,HK
17809,24482,111,SG
131662,20473,111,US
210932,6939,111,US
142005,9318,110,KR
131149,2914,109,JP
152626,59105,109,JP
9922,24482,106,SG
131657,13335,105,US
205592,204844,105,GB
9922,55720,104,MY
10135,3491,104,HK
17408,24482,103,SG
3462,50300,101,Desconhecido
18046,24482,101,SG
17408,15412,99,Desconhecido
142005,3356,99,US
131584,9002,97,GB
3462,50304,96,Desconhecido
38851,6939,96,US
140079,13335,96,US
131609,13335,96,US
133089,13335,96,US
9678,58453,95,HK
3462,1836,94,Desconhecido
3462,34019,94,Desconhecido
3462,12779,94,Desconhecido
134094,32097,94,Desconhecido
17408,38001,93,SG
17408,55720,93,MY
131659,13335,93,US
45250,24482,92,SG
131646,137983,91,HK
7483,21859,90,US
150755,6939,90,US
131659,6939,89,US
45250,8966,88,Desconhecido
63895,53587,88,US
131642,23961,88,US
208223,59105,88,JP
131617,138415,86,HK
131619,32787,86,Desconhecido
150772,198949,86,Desconhecido
17408,12389,85,Desconhecido
7483,17676,84,JP
24162,4229,84,Desconhecido
204677,983,84,Desconhecido
45599,45474,84,SG
7483,59796,84,Desconhecido
18424,4637,84,HK
7483,2914,84,JP
9678,35916,83,Desconhecido
150766,199524,83,Desconhecido
152619,32595,83,Desconhecido
9919,19551,82,Desconhecido
135596,21859,82,US
3462,13030,82,Desconhecido
63902,152194,81,HK
131667,20473,80,US
131618,3491,80,HK
56913,398465,80,Desconhecido
208223,27523,80,Desconhecido
139903,9002,79,GB
216432,204844,79,GB
63900,6939,79,US
18423,137409,78,AU
206434,48231,78,Desconhecido
215191,214821,78,Desconhecido
63910,20473,77,US
45342,3491,77,HK
63908,138997,76,HK
152615,6939,74,US
198954,6939,74,US
212154,11967,74,Desconhecido
134823,59796,73,Desconhecido
152619,6939,73,US
150766,6939,72,US
205013,16509,72,Desconhecido
7539,6939,71,US
18411,55355,70,HK
131663,2914,70,JP
63896,140096,70,HK
203405,20473,70,US
141742,21859,69,US
142046,6939,69,US
216198,6939,68,US
212279,20473,68,US
18182,24482,65,SG
131645,24482,65,SG
9264,1299,63,SE
7536,17676,60,JP
18044,6939,60,US
18411,4637,58,HK
216123,6939,58,US
131630,204844,56,GB
142046,32595,56,Desconhecido
208223,14447,56,Desconhecido
45250,6939,55,US
7483,1299,55,SE
9416,24482,54,SG
18419,24482,53,SG
18041,174,52,US
134094,6939,52,US
3462,213241,52,Desconhecido
17709,6939,51,US
3462,9002,51,GB
9264,6939,51,US
9416,55720,50,MY
131144,2687,50,Desconhecido
152626,6939,50,US
150766,32595,50,Desconhecido
3462,3216,49,Desconhecido
18424,2914,49,JP
18043,6939,48,US
150770,6939,48,US
152628,13335,48,US
3462,6453,47,US
131659,21859,47,US
131589,2914,47,JP
131634,137409,46,AU
131634,24482,46,SG
131634,55720,46,MY
205329,34927,46,Desconhecido
203843,6939,45,US
18046,21859,45,US
152615,204844,44,GB
46850,399870,44,Desconhecido
17415,6939,44,US
17709,12389,43,Desconhecido
9505,38001,43,SG
9505,17639,43,PH
9505,24482,43,SG
63901,20473,43,US
150769,20473,43,US
150767,205329,43,Desconhecido
45250,131310,43,MY
9915,20473,43,US
136462,19551,43,Desconhecido
131620,9002,43,GB
131659,20473,43,US
131676,58807,43,HK
63906,20473,43,US
7537,2914,43,JP
131636,3491,43,HK
38839,18250,42,AU
63902,138195,42,KR
45599,45559,42,PH
131629,133747,42,HK
131607,24482,41,SG
131607,55720,41,MY
63910,53667,41,Desconhecido
3462,20485,40,Desconhecido
131659,59796,40,Desconhecido
9678,199524,40,Desconhecido
215934,205329,40,Desconhecido
216123,205329,40,Desconhecido
131634,2914,39,JP
45250,55888,39,JP
45250,9299,39,PH
133375,10241,39,Desconhecido
205329,209735,39,Desconhecido
205417,34927,39,Desconhecido
205013,34872,39,Desconhecido
211749,215934,39,Desconhecido
207344,395596,39,Desconhecido
201943,204844,39,GB
131657,174,38,US
131657,6939,38,US
212154,34872,38,Desconhecido
212969,204844,38,GB
9416,8966,37,Desconhecido
150771,6939,37,US
150767,6939,37,US
201943,44324,37,Desconhecido
205329,7720,37,US
215191,44324,37,Desconhecido
3462,33891,36,Desconhecido
45250,4635,36,HK
212358,23961,36,US
131630,20473,36,US
9216,6939,36,US
199203,6939,36,US
215934,204844,36,GB
216123,204844,36,GB
205329,27523,36,Desconhecido
38845,9002,35,GB
134823,24482,35,SG
203843,32595,35,Desconhecido
131633,20473,35,US
216198,20473,35,US
198954,204844,35,GB
215191,20473,35,US
205417,31898,35,Desconhecido
215451,20473,35,US
9505,48185,34,Desconhecido
9505,20485,34,Desconhecido
9678,6939,34,US
214030,20473,34,US
212331,20473,34,US
210932,20473,34,US
9924,3356,33,US
131584,24482,33,SG
131584,55720,33,MY
18424,45474,33,SG
131667,6939,33,US
38839,38008,33,HK
202820,6939,32,US
131607,137409,31,AU
131144,2914,31,JP
207389,32595,31,Desconhecido
9416,9002,30,GB
38851,24482,30,SG
18041,24482,30,SG
152614,212895,30,Desconhecido
9505,4637,29,HK
38841,137409,29,AU
142005,6453,29,US
131642,55720,29,MY
18040,6939,29,US
18419,9002,28,GB
10135,41095,28,Desconhecido
7483,2497,28,JP
212358,6939,28,US
18046,55720,27,MY
18180,134196,27,HK
18419,55720,26,MY
17415,20473,26,US
7536,4229,26,Desconhecido
7656,55720,25,MY
9416,137409,24,AU
131584,137409,24,AU
18179,4637,24,HK
142046,205329,24,Desconhecido
17709,24482,23,SG
9244,24482,23,SG
208223,24482,23,SG
203843,7720,23,US
38851,55720,21,MY
131642,24482,21,SG
208223,204921,21,Desconhecido
150766,174,21,US
63909,9002,21,GB
131627,24482,20,SG
131627,55720,20,MY
134823,55720,20,MY
7483,174,20,US
7532,3491,19,HK
131627,137409,19,AU
18428,24482,19,SG
7536,3491,19,HK
131618,150288,18,SG
152614,20473,18,US
24172,58453,18,HK
9678,24482,17,SG
7656,137409,16,AU
7656,24482,16,SG
18046,8966,16,Desconhecido
134823,43298,16,Desconhecido
131646,45250,16,US
205329,41051,16,Desconhecido
18422,24482,15,SG
134823,9002,15,GB
18180,136826,15,ID
9678,137409,15,AU
9678,55720,15,MY
9678,20860,15,Desconhecido
131642,137409,15,AU
24162,21859,15,US
9505,2914,15,JP
9680,1299,14,SE
18424,6939,14,US
134823,58453,14,HK
203843,17433,14,HK
7539,7575,13,AU
204934,6939,12,US
38851,137409,12,AU
131645,55720,12,MY
142046,174,12,US
205592,44324,12,Desconhecido
150766,34927,12,Desconhecido
208223,209533,12,Desconhecido
63897,137409,11,AU
63897,24482,11,SG
9924,33891,10,Desconhecido
4780,8359,10,Desconhecido
9680,3356,10,US
131149,24482,10,SG
131630,24482,10,SG
131642,8966,10,Desconhecido
131642,4635,10,HK
131642,8359,10,Desconhecido
18041,55720,10,MY
3462,212024,9,Desconhecido
131593,2914,9,JP
205329,24482,9,SG
9678,4837,9,CN
18041,15412,9,Desconhecido
45342,21859,9,US
9505,9002,9,GB
9505,213241,9,Desconhecido
9264,33891,8,Desconhecido
9680,174,8,US
131149,55720,8,MY
9915,6939,8,US
38852,6939,8,US
24162,3491,8,HK
17718,6939,8,US
7539,24482,7,SG
18422,55720,7,MY
10135,24482,7,SG
10135,55720,7,MY
38856,6939,7,US
131666,6939,7,US
63897,55720,7,MY
7483,10099,7,HK
142005,6939,7,US
4780,58453,7,HK
3462,12859,6,Desconhecido
7539,55720,6,MY
9924,4635,6,HK
131644,24482,6,SG
45250,140715,6,PH
215256,24482,6,SG
213617,20473,6,US
9264,38001,5,SG
9264,23855,5,SG
9264,1103,5,Desconhecido
9264,17639,5,PH
9264,24482,5,SG
9924,17639,5,PH
10135,4637,5,HK
9680,6939,5,US
18423,6939,5,US
212425,58057,5,Desconhecido
207705,24482,5,SG
216198,207841,5,Desconhecido
213617,53356,5,Desconhecido
9416,12389,4,Desconhecido
204934,24482,4,SG
141742,24482,4,SG
17709,9002,4,GB
142005,7018,4,Desconhecido
18423,3491,4,HK
131630,55720,4,MY
150766,24482,4,SG
136462,3491,4,HK
55789,24482,4,SG
7483,150288,4,SG
131273,137409,4,AU
131273,24482,4,SG
131273,55720,4,MY
131643,137409,4,AU
131643,24482,4,SG
131643,55720,4,MY
38254,138997,4,HK
18044,24482,4,SG
152619,24482,4,SG
152626,24482,4,SG
17408,34549,4,Desconhecido
150755,24482,4,SG
3462,29632,4,Desconhecido
202820,20473,4,US
208223,393577,4,Desconhecido
203405,47498,4,Desconhecido
214821,58057,4,Desconhecido
7539,11537,3,Desconhecido
150768,24482,3,SG
150768,55720,3,MY
131666,24482,3,SG
131666,55720,3,MY
152615,24482,3,SG
18424,24482,3,SG
18424,55720,3,MY
131657,24482,3,SG
63900,24482,3,SG
9505,55720,3,MY
3462,3333,3,Desconhecido
3462,48185,3,Desconhecido
210932,24482,3,SG
198954,24482,3,SG
216123,24482,3,SG
212154,56662,3,Desconhecido
9416,58453,2,HK
9416,216458,2,Desconhecido
204934,206499,2,Desconhecido
9680,6762,2,IT
131605,24482,2,SG
38856,24482,2,SG
18423,24482,2,SG
9244,137409,2,AU
142005,33891,2,Desconhecido
131644,55720,2,MY
7538,24429,2,CN
212358,24482,2,SG
18041,137409,2,AU
17415,24482,2,SG
38254,24482,2,SG
150770,24482,2,SG
150770,55720,2,MY
203843,24482,2,SG
9244,55720,2,MY
45250,38001,2,SG
45250,17639,2,PH
131638,24482,2,SG
4780,983,2,Desconhecido
18040,24482,2,SG
150771,24482,2,SG
55789,55720,2,MY
17408,33891,2,Desconhecido
204934,56662,2,Desconhecido
216198,204092,2,Desconhecido
216198,24482,2,SG
142046,24482,2,SG
212154,34549,2,Desconhecido
205329,29632,2,Desconhecido
205329,58057,2,Desconhecido
18411,24482,1,SG
18411,55720,1,MY
9680,7575,1,AU
9680,17639,1,PH
9680,24482,1,SG
131605,55720,1,MY
18180,210919,1,Desconhecido
9924,137409,1,AU
38853,24482,1,SG
38853,55720,1,MY
9917,24482,1,SG
9917,55720,1,MY
152615,20473,1,US
152615,55720,1,MY
142005,38001,1,SG
142005,8966,1,Desconhecido
142005,17639,1,PH
142005,24482,1,SG
9915,24482,1,SG
9915,55720,1,MY
150137,24482,1,SG
150137,55720,1,MY
131659,60068,1,Desconhecido
131659,24482,1,SG
131659,55720,1,MY
38852,24482,1,SG
9920,24482,1,SG
17408,137409,1,AU
63900,55720,1,MY
131638,137409,1,AU
131638,55720,1,MY
18040,55720,1,MY
17718,24482,1,SG
17718,55720,1,MY
150771,55720,1,MY
150766,137409,1,AU
63909,24482,1,SG
63909,55720,1,MY
45250,21859,1,US
4780,8966,1,Desconhecido
134094,52025,1,Desconhecido
17408,37721,1,Desconhecido
17408,1836,1,Desconhecido
17408,48362,1,Desconhecido
17408,212024,1,Desconhecido
17408,34019,1,Desconhecido
17408,12859,1,Desconhecido
17408,12779,1,Desconhecido
17408,20485,1,Desconhecido
45250,8359,1,Desconhecido
18182,137409,1,AU
9264,61292,1,Desconhecido
199203,24482,1,SG
212360,24482,1,SG
214030,56662,1,Desconhecido
202820,24482,1,SG
18046,35280,1,Desconhecido
134094,34927,1,Desconhecido
198954,216123,1,Desconhecido
205329,394256,1,Desconhecido
205329,9002,1,GB
205329,202365,1,Desconhecido
205329,204092,1,Desconhecido
205329,56662,1,Desconhecido
205329,3333,1,Desconhecido
205329,48185,1,Desconhecido
203843,137409,1,AU
